serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,miss_pattern
8250A049FVKG,2023-10-02,2023-10-08,3,1,0.3385182318271604,0.3385182318271604,2023-10-08,0.3385182318271604,0.3385182318271604,3,False,0,,False,0,,false_negative,,,0.36148176817283956,missed_even_at_0.35,short_history_under_7_days
8280A02JFVKG,2023-10-02,2023-11-14,16,1,0.372080704755176,0.36097293825840837,2023-11-14,0.372080704755176,0.36097293825840837,16,False,0,,True,10,2023-10-25,false_negative,,20.0,0.32791929524482394,detected_only_at_0.35,moderate_signal_0.35_to_0.60
88Q0A0LYF97G,2023-10-01,2023-11-01,15,1,0.40269438151178694,0.37413058662558557,2023-11-01,0.40269438151178694,0.37413058662558557,15,False,0,,True,15,2023-10-01,false_negative,,31.0,0.297305618488213,detected_only_at_0.35,moderate_signal_0.35_to_0.60
88T0A035F97G,2023-10-01,2023-12-09,24,1,0.37124005744035704,0.3490740684043671,2023-12-09,0.37124005744035704,0.3490740684043671,24,False,0,,True,2,2023-12-05,false_negative,,4.0,0.3287599425596429,detected_only_at_0.35,moderate_signal_0.35_to_0.60
8CGJUH6G,2023-10-04,2023-11-14,13,1,0.3348234870593261,0.3348234870593261,2023-11-14,0.3348234870593261,0.3348234870593261,13,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
8CH384ME,2023-10-02,2023-12-03,27,1,0.6859858377540735,0.5346564006470691,2023-12-03,0.6859858377540735,0.5346564006470691,27,False,0,,True,27,2023-10-02,false_negative,,62.0,0.014014162245926443,detected_only_at_0.35,near_miss_0.60_to_0.70
8HGNSXXH,2023-10-02,2023-11-28,16,1,0.5474809623840466,0.352886315775995,2023-11-28,0.5474809623840466,0.352886315775995,16,False,0,,True,1,2023-10-02,false_negative,,57.0,0.1525190376159533,detected_only_at_0.35,moderate_signal_0.35_to_0.60
8HJRRMBH,2023-10-04,2023-10-08,2,1,0.6485703026050862,0.6365344076514872,2023-10-08,0.6485703026050862,0.6365344076514872,2,False,0,,True,2,2023-10-04,false_negative,,4.0,0.051429697394913765,detected_only_at_0.35,short_history_under_7_days
8HK2NBJH,2023-10-05,2023-12-10,24,1,0.4140485732060822,0.35207078942224374,2023-12-10,0.4140485732060822,0.35207078942224374,24,False,0,,True,6,2023-11-01,false_negative,,39.0,0.2859514267939178,detected_only_at_0.35,moderate_signal_0.35_to_0.60
8HKXE65H,2023-10-01,2023-10-18,4,1,0.3341195270929709,0.3341195270929709,2023-10-18,0.3341195270929709,0.3341195270929709,4,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,short_history_under_7_days
